コード,全国，都道府県，市区町村,総数,男,女
05447,（旧：大雄村）,"4,325","2,073","2,252"
05204,大館市,"69,237","32,551","36,686"
0520E,（旧：大館市）,"54,812","25,668","29,144"
05322,（旧：比内町）,"8,926","4,260","4,666"
05325,（旧：田代町）,"5,499","2,623","2,876"
05206,男鹿市,"25,154","11,860","13,294"
0520F,（旧：男鹿市）,"20,409","9,598","10,811"
05367,（旧：若美町）,"4,745","2,262","2,483"
05207,湯沢市,"42,091","20,115","21,976"
0520G,（旧：湯沢市）,"26,425","12,566","13,859"
05461,（旧：稲川町）,"7,485","3,590","3,895"
05462,（旧：雄勝町）,"6,183","2,986","3,197"
05465,（旧：皆瀬村）,"1,998",973,"1,025"
05209,鹿角市,"29,088","13,684","15,404"
05210,由利本荘市,"74,707","35,842","38,865"
05205,（旧：本荘市）,"41,923","20,195","21,728"
05404,（旧：矢島町）,"4,059","1,932","2,127"
05405,（旧：岩城町）,"5,099","2,382","2,717"
05406,（旧：由利町）,"4,228","1,993","2,235"
05407,（旧：西目町）,"5,669","2,694","2,975"
05408,（旧：鳥海町）,"4,018","1,933","2,085"
05409,（旧：東由利町）,"2,985","1,459","1,526"
05410,（旧：大内町）,"6,726","3,254","3,472"
05211,潟上市,"31,720","14,967","16,753"
05362,（旧：昭和町）,"6,738","3,092","3,646"
05364,（旧：飯田川町）,"3,826","1,764","2,062"
05365,（旧：天王町）,"21,156","10,111","11,045"
05212,大仙市,"77,657","36,287","41,370"
05208,（旧：大曲市）,"35,180","16,458","18,722"
05421,（旧：神岡町）,"4,759","2,170","2,589"
05422,（旧：西仙北町）,"7,428","3,439","3,989"
05425,（旧：中仙町）,"8,518","4,057","4,461"
05427,（旧：協和町）,"6,290","2,951","3,339"
05428,（旧：南外村）,"3,128","1,459","1,669"
05429,（旧：仙北町）,"6,644","3,101","3,543"
05431,（旧：太田町）,"5,710","2,652","3,058"
05213,北秋田市,"30,198","14,157","16,041"
05321,（旧：鷹巣町）,"16,805","7,907","8,898"
05323,（旧：森吉町）,"5,180","2,418","2,762"
05324,（旧：阿仁町）,"2,401","1,154","1,247"
05326,（旧：合川町）,"5,812","2,678","3,134"
05214,にかほ市,"23,435","11,218","12,217"
05401,（旧：仁賀保町）,"9,650","4,714","4,936"
05402,（旧：金浦町）,"3,785","1,764","2,021"
05403,（旧：象潟町）,"10,000","4,740","5,260"
05215,仙北市,"24,610","11,408","13,202"
05423,（旧：角館町）,"11,284","5,260","6,024"
05426,（旧：田沢湖町）,"9,286","4,304","4,982"
05430,（旧：西木村）,"4,040","1,844","2,196"
05303,小坂町,"4,780","2,232","2,548"
05327,上小阿仁村,"2,063",986,"1,077"
05346,藤里町,"2,896","1,380","1,516"
05348,三種町,"15,254","7,034","8,220"
05341,（旧：琴丘町）,"4,329","1,947","2,382"
05344,（旧：山本町）,"5,826","2,692","3,134"
05345,（旧：八竜町）,"5,099","2,395","2,704"
05349,八峰町,"6,577","3,071","3,506"
05343,（旧：八森町）,"3,139","1,459","1,680"
05347,（旧：峰浜村）,"3,438","1,612","1,826"
05361,五城目町,"8,538","3,985","4,553"
05363,八郎潟町,"5,583","2,534","3,049"
05366,井川町,"4,566","2,130","2,436"
05368,大潟村,"3,011","1,500","1,511"
05434,美郷町,"18,613","8,701","9,912"
05424,（旧：六郷町）,"5,934","2,719","3,215"
05432,（旧：千畑町）,"6,426","3,048","3,378"
05433,（旧：仙南村）,"6,253","2,934","3,319"
05463,羽後町,"13,825","6,637","7,188"
